,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
8,Australia,AUS,WesternDem,38611.949,0.93699998,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115
89,"Korea, North",PRK,EastAsia,1727.8199,,,,3.3499999,,
42,Costa Rica,CRI,LatAm,9485.71,0.77499998,,8.600000381469727,3.45,14.2,9.313112258911133
192,Yemen,YEM,NorthAfrica,2170.9299,0.49900001,,46.29999923706055,0.039999999,,5.636990070343018
37,Taiwan,TWN,EastAsia,33965.871,,23.43400001525879,3.934564113616943,,,
112,Mongolia,MNG,EastAsia,6277.8999,0.73299998,2.881999969482422,23.0,,26.799999,4.730341911315918
159,Somalia,SOM,SubSaharian,1436.74,,,,0.0,,
82,Italy,ITA,WesternDem,32931.672,0.88099998,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283
193,Zambia,ZMB,SubSaharian,1916.79,0.57599998,,56.40000152587891,2.4100001,15.9,4.986764907836914
144,Rwanda,RWA,SubSaharian,1440.39,0.493,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
191,Samoa,WSM,Pacific,3167.75,0.70200002,0.1920000016689301,,2.1500001,32.0,7.215108871459961
13,Armenia,ARM,EastEurope,6451.9399,0.741,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004
57,Fiji,FJI,Pacific,3848.72,0.73400003,0.8799999952316284,,,26.5,4.487498760223389
39,Comoros,COM,SubSaharian,972.35999,0.498,0.7760000228881836,,0.12,15.3,6.747642993927002
30,Canada,CAN,WesternDem,36577.078,0.91900003,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
81,Israel,ISR,NorthAfrica,25926.25,0.898,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
1,Albania,ALB,EastEurope,8516.7002,0.76200002,,15.0,4.5100002,29.700001,5.883105278015137
103,Malawi,MWI,SubSaharian,938.34998,0.47299999,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
188,Uruguay,URY,LatAm,12804.84,0.79400003,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914
109,Mauritius,MUS,SubSaharian,10944.54,0.77899998,1.261000037193298,13.0,3.03,21.9,4.809544563293457
16,Bhutan,BTN,SouthAsia,5639.02,0.60399997,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
164,Sudan (2012-),SDN,SubSaharian,,0.48800001,,,,,8.4287748336792
54,Ethiopia (1993-),ETH,SubSaharian,900.77002,0.44100001,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
126,Nigeria,NGA,SubSaharian,2246.8201,0.52499998,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
100,Lithuania,LTU,EastEurope,17559.75,0.84600002,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
171,Thailand,THA,SouthEastAsia,9295.5703,0.73799998,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
75,Iceland,ISL,WesternDem,31313.609,0.91900003,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
134,Paraguay,PRY,LatAm,4812.9199,0.69199997,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
132,Panama,PAN,LatAm,15137.04,0.78500003,3.788000106811523,15.89999961853027,6.7399998,7.4000001,8.025723457336426
79,Iraq,IRQ,NorthAfrica,4178.2598,0.64899999,32.57799911499023,,0.17,,5.538873195648193
66,Kiribati,KIR,Pacific,1532.65,0.58600003,0.1070000007748604,,0.52999997,54.0,10.21295070648193
184,United Kingdom,GBR,WesternDem,34791.051,0.90799999,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
2,Algeria,DZA,NorthAfrica,5402.1699,0.74299997,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727
158,Slovenia,SVN,EastEurope,24456.561,0.88800001,2.061000108718872,2.5,10.46,20.9,9.23388671875
181,Ukraine,UKR,EastEurope,9326.7197,0.74800003,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
11,Bahrain,BHR,NorthAfrica,22498.48,0.82300001,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
17,Bolivia,BOL,LatAm,4023.8701,0.671,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
156,Slovakia,SVK,EastEurope,21776.34,0.84200001,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
131,Pakistan (1971-),PAK,SouthAsia,2855.55,0.54799998,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727
129,Marshall Islands,MHL,Pacific,2833.97,,0.0540000014007092,,,,17.13572311401367
29,Cameroon,CMR,SubSaharian,2658.51,0.514,,61.09999847412109,6.1900001,18.799999,4.103671550750732
180,Uganda,UGA,SubSaharian,1343.45,0.48800001,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717
123,New Zealand,NZL,WesternDem,26481.369,0.91299999,4.554999828338623,4.699999809265137,9.0699997,17.6,11.02960968017578
122,Vanuatu,VUT,Pacific,2877.01,0.59799999,0.2569999992847443,,0.85000002,,5.023574829101563
96,Latvia,LVA,EastEurope,16583.67,0.82800001,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
18,Bosnia and Herzegovina,BIH,EastEurope,8507.6504,0.74699998,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102
119,Nauru,NRU,Pacific,3130.47,,0.0120000001043081,,,48.900002,3.32664942741394
182,Macedonia,MKD,EastEurope,9610.5996,0.74599999,2.069000005722046,6.5,1.13,,6.476374626159668
24,Bulgaria,BGR,EastEurope,13967.45,0.792,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
190,Venezuela,VEN,LatAm,10513.96,0.76899999,,13.10000038146973,6.4699998,,5.256702423095703
87,Jordan,JOR,NorthAfrica,5188.9199,0.741,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
36,China,CHN,EastAsia,9283.3799,0.73400003,,12.10000038146973,5.7800002,25.9,5.548227787017822
35,Chile,CHL,LatAm,15519.08,0.84500003,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717
32,Central African Republic,CAF,SubSaharian,690.03998,0.347,,,1.66,,4.200222015380859
46,Czech Republic,CZE,EastEurope,23847.08,0.875,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
157,Vietnam,VNM,SouthEastAsia,4147.5698,0.67799997,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398
50,Dominican Republic,DOM,LatAm,10376.63,0.71799999,,22.79999923706055,5.9200001,14.5,4.375777721405029
73,Honduras,HND,LatAm,3303.1399,0.62300003,,19.39999961853027,2.8699999,18.9,8.72268009185791
105,Maldives,MDV,SouthAsia,13349.76,0.70099998,0.335999995470047,,1.92,,13.7335205078125
162,Spain,ESP,WesternDem,31086.35,0.88200003,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
67,Greece,GRC,WesternDem,25295.27,0.86500001,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
34,Chad,TCD,SubSaharian,1651.05,0.39399999,,89.4000015258789,0.63999999,,3.621164321899414
189,Uzbekistan,UZB,EastEurope,7370.7202,0.69700003,29.74600028991699,,2.8299999,13.3,5.838521957397461
106,Mali,MLI,SubSaharian,1063.26,0.43799999,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
183,Egypt,EGY,NorthAfrica,5598.2598,0.68800002,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
69,Guatemala,GTM,LatAm,4438.0,0.63700002,,26.5,1.88,,6.202301502227783
177,Turkey,TUR,NorthAfrica,16900.711,0.764,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458
25,Myanmar,MMR,SouthEastAsia,5733.3701,0.55199999,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288
0,Afghanistan,AFG,SouthAsia,1282.64,0.479,29.82500076293945,,0.0099999998,,8.182273864746094
19,Botswana,BWA,SubSaharian,12770.73,0.69800001,,41.0,5.7600002,,5.412002563476563
12,Bangladesh,BGD,SouthAsia,1796.64,0.57499999,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571
138,Portugal,PRT,WesternDem,23744.631,0.84100002,10.40100002288818,2.900000095367432,9.8800001,22.6,9.501075744628906
86,Kazakhstan,KAZ,EastEurope,14098.88,0.79299998,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
174,Trinidad and Tobago,TTO,Caribbean,22089.16,0.77899998,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375
15,Belgium,BEL,WesternDem,33764.711,0.89499998,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223
49,Dominica,DMA,Caribbean,12613.72,0.72399998,,,5.46,,5.485832691192627
178,Turkmenistan,TKM,EastEurope,13217.39,0.68800002,,,2.9000001,,2.067386150360107
85,Japan,JPN,EastAsia,36123.77,0.90200001,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594
52,El Salvador,SLV,LatAm,332.26999,0.67799997,,13.60000038146973,2.52,,6.772402763366699
71,Guyana,GUY,Caribbean,2042.8199,0.63800001,0.7559999823570251,29.0,7.6399999,,5.247803688049316
98,Libya,LBY,NorthAfrica,4102.8398,0.71899998,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
145,St Kitts and Nevis,KNA,Caribbean,11237.75,0.76200002,,,8.6800003,,5.080365180969238
76,India,IND,SouthAsia,4256.79,0.61500001,,43.79999923706055,3.0699999,12.4,4.685088157653809
111,Monaco,MCO,WesternDem,108481.13,,,,,,4.337683200836182
23,Brunei,BRN,SouthEastAsia,46103.84,0.86400002,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
33,Sri Lanka,LKA,SouthAsia,5466.8701,0.764,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
99,Liechtenstein,LIE,WesternDem,102243.52,0.91100001,,,,,
21,Belize,BLZ,Caribbean,6649.1401,0.70599997,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664
121,Netherlands,NLD,WesternDem,42258.352,0.92299998,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
169,Syria,SYR,NorthAfrica,4284.4199,0.55299997,,14.19999980926514,0.75999999,,3.254531145095825
26,Burundi,BDI,SubSaharian,663.57001,0.40599999,,66.9000015258789,4.1599998,,7.535565376281738
7,Argentina,ARG,LatAm,15102.61,0.82599998,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
70,Guinea,GIN,SubSaharian,993.83002,0.414,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
141,Qatar,QAT,NorthAfrica,104049.44,0.85500002,2.045000076293945,6.300000190734863,1.15,,2.18706226348877
93,Laos,LAO,SouthEastAsia,2926.77,0.58200002,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
133,Papua New Guinea,PNG,Pacific,1693.54,0.51499999,6.880000114440918,,0.88,,4.263570785522461
135,Peru,PER,LatAm,9227.1504,0.73699999,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
